time,open,high,low,close,Volume,Volume MA,Mkt сap,Total common shares outstanding
2017-02-05T23:00:00Z,1.54,1.59,1.53,1.53,104366,138421.3,142804974,93336581
2017-02-06T23:00:00Z,1.55,1.55,1.55,1.55,10323,135119.2,144671704,93336581
2017-02-07T23:00:00Z,1.55,1.55,1.55,1.55,17793,94019.25,144671704,93336581
2017-02-08T23:00:00Z,1.55,1.56,1.55,1.56,2217,92485.25,145605069,93336581
2017-02-09T23:00:00Z,1.59,1.62,1.55,1.62,95458,96835.15,151205270,93336581
2017-02-12T23:00:00Z,1.6,1.615,1.6,1.6,86679,98943.25,149338540,93336581
2017-02-13T23:00:00Z,1.6,1.63,1.6,1.63,14114,67430.55,152138635,93336581
2017-02-14T23:00:00Z,1.63,1.63,1.6,1.605,85912,48688.3,149805222,93336581
2017-02-15T23:00:00Z,1.605,1.605,1.605,1.605,12500,46141.9,149805222,93336581
2017-02-16T23:00:00Z,1.605,1.605,1.6,1.605,35733,42285.8,149805222,93336581
2017-02-19T23:00:00Z,1.6,1.63,1.56,1.56,120895,47381.1,145605069,93336581
2017-02-20T23:00:00Z,1.565,1.575,1.56,1.575,58984,39880.35,147005127,93336581
2017-02-21T23:00:00Z,1.58,1.58,1.58,1.58,9256,39553.7,147471799,93336581
2017-02-22T23:00:00Z,1.65,1.655,1.585,1.585,691563,72958.8,147938492,93336581
2017-02-23T23:00:00Z,1.61,1.695,1.61,1.665,307810,87541.8,155405412,93336581
2017-02-26T23:00:00Z,1.67,1.75,1.67,1.735,224752,98154.4,161938978,93336581
2017-02-27T23:00:00Z,1.735,1.75,1.7,1.71,238869,109307.25,159605566,93336581
2017-02-28T23:00:00Z,1.71,1.75,1.7,1.75,135694,115464.15,163339025,93336581
2017-03-01T23:00:00Z,1.75,1.755,1.73,1.755,198000,124055.9,163805708,93336581
2017-03-02T23:00:00Z,1.755,1.755,1.72,1.74,61500,125620.9,162405661,93336581
2017-03-05T23:00:00Z,1.73,1.75,1.73,1.75,62600,123532.6,163339025,93336581
2017-03-06T23:00:00Z,1.75,1.785,1.735,1.75,152551,130644,163339025,93336581
2017-03-07T23:00:00Z,1.75,1.75,1.7,1.71,141928,136850.75,159605566,93336581
2017-03-08T23:00:00Z,1.72,1.74,1.72,1.74,4821,136980.95,162405661,93336581
2017-03-09T23:00:00Z,1.73,1.74,1.73,1.73,25000,133458.05,161472296,93336581
2017-03-12T23:00:00Z,1.72,1.72,1.67,1.68,15000,129874.1,156805471,93336581
2017-03-13T23:00:00Z,1.675,1.68,1.675,1.68,18478,130092.3,156805471,93336581
2017-03-14T23:00:00Z,1.7,1.725,1.7,1.725,32070,127400.2,161005613,93336581
2017-03-16T23:00:00Z,1.7,1.72,1.7,1.7,55388,129544.6,158672201,93336581
2017-03-19T23:00:00Z,1.69,1.69,1.69,1.69,2778,127896.85,157738836,93336581
2017-03-20T23:00:00Z,1.69,1.72,1.69,1.72,48186,124261.4,160538931,93336581
2017-03-21T23:00:00Z,1.715,1.72,1.7,1.715,129044,127764.4,160072237,93336581
2017-03-22T23:00:00Z,1.7,1.72,1.7,1.72,40256,129314.4,160538931,93336581
2017-03-23T23:00:00Z,1.715,1.72,1.71,1.71,97123,99592.4,159605566,93336581
2017-03-26T23:00:00Z,1.71,1.76,1.71,1.75,92232,88813.5,163339025,93336581
2017-03-27T23:00:00Z,1.75,1.77,1.75,1.76,92696,82210.7,164272390,93336581
2017-03-28T23:00:00Z,1.76,1.78,1.75,1.775,65147,73524.6,165672438,93336581
2017-03-29T23:00:00Z,1.765,1.765,1.735,1.755,50669,69273.35,163805708,93336581
2017-03-30T23:00:00Z,1.745,1.75,1.745,1.75,3461,59546.4,163339025,93336581
2017-04-03T00:00:00Z,1.75,1.76,1.715,1.72,47188,58830.8,160538931,93336581
2017-04-04T00:00:00Z,1.72,1.72,1.685,1.69,137644,62583,157738836,93336581
2017-04-05T00:00:00Z,1.69,1.71,1.69,1.7,13982,55654.55,158672201,93336581
2017-04-06T00:00:00Z,1.695,1.695,1.66,1.675,36178,50367.05,156338777,93336581
2017-04-07T00:00:00Z,1.69,1.72,1.67,1.72,100322,55142.1,160538931,93336581
2017-04-10T00:00:00Z,1.72,1.72,1.7,1.715,80736,57928.9,160072237,93336581
2017-04-11T00:00:00Z,1.7,1.71,1.7,1.71,12871,57822.45,159605566,93336581
2017-04-12T00:00:00Z,1.7,1.71,1.7,1.7,9418,57369.45,158672201,93336581
2017-04-13T00:00:00Z,1.7,1.7,1.68,1.68,40568,57794.35,156805471,93336581
2017-04-18T00:00:00Z,1.66,1.7,1.655,1.67,87362,59393.05,155872106,93336581
