time,open,high,low,close,Volume,Volume MA,Mkt сap,Total common shares outstanding
2012-10-14T23:00:00Z,1.411072,1.411072,1.395097,1.400423,4090063,7648645.95,NaN,NaN
2012-10-15T23:00:00Z,1.405747,1.411072,1.400423,1.405747,3504551,7438585.15,NaN,NaN
2012-10-16T23:00:00Z,1.416397,1.421722,1.395097,1.416397,5808718,7296829.4,NaN,NaN
2012-10-17T23:00:00Z,1.437696,1.458995,1.427046,1.443021,10145986,7067605.3,NaN,NaN
2012-10-18T23:00:00Z,1.427046,1.437696,1.421722,1.427046,3895928,6903449.05,NaN,NaN
2012-10-21T23:00:00Z,1.411072,1.427046,1.405747,1.416397,4170460,6846911.85,NaN,NaN
2012-10-22T23:00:00Z,1.416397,1.448346,1.416397,1.427046,4420809,6884780.75,NaN,NaN
2012-10-23T23:00:00Z,1.421722,1.427046,1.411072,1.411072,4595617,6653191.75,NaN,NaN
2012-10-24T23:00:00Z,1.427046,1.458995,1.416397,1.432371,9766028,6920212.3,NaN,NaN
2012-10-25T23:00:00Z,1.432371,1.448346,1.427046,1.432371,18427499,7489824.65,NaN,NaN
2012-10-28T23:00:00Z,1.437696,1.443021,1.421722,1.427046,8165633,7667528.15,NaN,NaN
2012-10-29T23:00:00Z,1.432371,1.435034,1.416397,1.427046,5795304,7377488.95,NaN,NaN
2012-10-30T23:00:00Z,1.432371,1.432371,1.395097,1.416397,9877685,7420827.1,NaN,NaN
2012-10-31T23:00:00Z,1.405747,1.411072,1.363149,1.373798,8101961,7360219.75,NaN,NaN
2012-11-01T23:00:00Z,1.384448,1.389773,1.357824,1.379123,9517737,7483198.2,NaN,NaN
2012-11-04T23:00:00Z,1.373798,1.379123,1.363149,1.373798,5883087,7608106.9,NaN,NaN
2012-11-05T23:00:00Z,1.363149,1.368474,1.347174,1.368474,2393081,7357082.85,NaN,NaN
2012-11-06T23:00:00Z,1.368474,1.384448,1.352499,1.384448,6574044,6983606.6,NaN,NaN
2012-11-07T23:00:00Z,1.357824,1.371136,1.357824,1.363149,4989686,6835583.1,NaN,NaN
2012-11-08T23:00:00Z,1.352499,1.363149,1.3312,1.347174,6392231,6825805.4,NaN,NaN
2012-11-11T23:00:00Z,1.336525,1.34185,1.315226,1.3312,4947230,6868663.75,NaN,NaN
2012-11-12T23:00:00Z,1.3312,1.3312,1.293926,1.304576,8187455,7102808.95,NaN,NaN
2012-11-13T23:00:00Z,1.32055,1.32055,1.296589,1.309901,4938298,7059287.95,NaN,NaN
2012-11-14T23:00:00Z,1.3312,1.395097,1.3312,1.363149,28250892,7964533.25,NaN,NaN
