time,open,high,low,close,Volume,Volume MA,Mkt сap,Total common shares outstanding
2017-10-15T22:00:00Z,4.33,4.37,4.3,4.33,367510,499971.35,930356141,212409000
2017-10-16T22:00:00Z,4.38,4.7,4.38,4.7,1213131,528038.95,1009939998,212409000
2017-10-17T22:00:00Z,5.05,5.29,4.86,5.18,2406430,629211.8,1113082815,212409000
2017-10-18T22:00:00Z,5.28,5.54,5.28,5.39,2113955,693887.7,1158207803,212409000
2017-10-19T22:00:00Z,5.39,5.44,5.2,5.43,1099071,731216.15,1166803030,212409000
2017-10-22T22:00:00Z,5.44,5.62,5.44,5.5,917243,754444.75,1181844727,212409000
2017-10-23T22:00:00Z,5.53,5.59,5.33,5.44,986573,774035.6,1168951887,212409000
2017-10-24T22:00:00Z,5.45,5.5,5.43,5.45,441897,741237.6,1171100643,212409000
2017-10-25T22:00:00Z,5.45,5.45,5.18,5.37,530154,684245.85,1153910190,212409000
2017-10-26T22:00:00Z,5.4,5.55,5.355,5.37,545742,696376.5,1153910190,212409000
2017-10-29T22:00:00Z,5.45,5.48,5.15,5.3,740823,722328.8,1138868596,212409000
2017-10-30T22:00:00Z,5.3,5.3,5.09,5.2,610370,729361.4,1117380428,212409000
2017-10-31T22:00:00Z,5.22,5.3,5.1,5.17,993719,762947.5,1111013342,212409000
2017-11-01T22:00:00Z,5.2,5.27,5.135,5.15,802812,780678.15,1106715422,212409000
2017-11-02T22:00:00Z,5.18,5.25,5.16,5.2,1070104,823814.6,1117460170,212409000
2017-11-05T22:00:00Z,5.26,5.51,5.23,5.49,1070372,862593.95,1179780058,212409000
2017-11-06T22:00:00Z,5.55,5.7,5.38,5.42,907752,893179.45,1164737390,212409000
2017-11-07T22:00:00Z,5.49,5.63,5.43,5.43,628754,909528.05,1166886299,212409000
2017-11-08T22:00:00Z,5.49,5.53,5.37,5.47,484568,913192.35,1175482139,212409000
2017-11-09T22:00:00Z,5.48,5.73,5.47,5.62,807391,936918.55,1207716588,212409000
2017-11-12T22:00:00Z,5.71,5.97,5.7,5.94,926094,964847.75,1276483407,212409000
2017-11-13T22:00:00Z,6,6,5.72,5.8,775202,942951.3,1246397969,212409000
2017-11-14T22:00:00Z,5.84,5.85,5.6,5.79,708453,858052.45,1244248958,212409000
2017-11-15T22:00:00Z,5.38,5.62,5.23,5.5,3215509,913130.15,1181929070,212409000
2017-11-16T22:00:00Z,5.5,5.6,5.43,5.46,909212,903637.2,1173333230,212409000
2017-11-19T22:00:00Z,5.44,5.8,5.44,5.72,1013108,908430.45,1229206290,212409000
2017-11-20T22:00:00Z,5.72,5.76,5.62,5.71,656948,891949.2,1227057279,212409000
2017-11-21T22:00:00Z,5.7,5.78,5.61,5.65,645230,902115.85,1214163519,212409000
2017-11-22T22:00:00Z,5.65,5.65,5.35,5.36,946950,922955.65,1151843631,212409000
2017-11-23T22:00:00Z,5.37,5.37,5.1,5.23,1174816,954409.35,1123907101,212409000
2017-11-26T22:00:00Z,5.3,5.3,4.7,4.92,1894460,1012091.2,1057289293.0000001,212409000
2017-11-27T22:00:00Z,4.95,5.24,4.81,5.2,1401445,1051644.95,1117460170,212409000
2017-11-28T22:00:00Z,5.1,5.24,4.95,5.08,841097,1044013.85,1091672651,212409000
2017-11-29T22:00:00Z,5.12,5.15,4.975,5,3764664,1192106.45,1074480972,212409000
2017-11-30T22:00:00Z,5.01,5.12,4.75,4.8,1094218,1193312.15,1031501774,212409000
2017-12-03T22:00:00Z,5.1,5.29,5.05,5.16,2160427,1247814.9,1108864331,212409000
2017-12-04T22:00:00Z,5.23,5.42,5.12,5.16,1555705,1280212.55,1108864331,212409000
2017-12-05T22:00:00Z,5.16,5.23,4.9,4.92,1282487,1312899.2,1057289293.0000001,212409000
2017-12-06T22:00:00Z,4.99,5.13,4.93,5.05,612296,1319285.6,1085225823,212409000
2017-12-07T22:00:00Z,5.05,5.21,5.01,5.14,945418,1326186.95,1104566411,212409000
2017-12-10T22:00:00Z,5.16,5.21,5.13,5.17,857205,1322742.5,1111013342,212409000
2017-12-11T22:00:00Z,5.19,5.27,5.19,5.26,1165229,1342243.85,1130354032,212409000
2017-12-12T22:00:00Z,5.27,5.29,5.1,5.15,1072477,1360445.05,1106715422,212409000
2017-12-13T22:00:00Z,5.2,5.27,5.16,5.2,346987,1217018.95,1117460170,212409000
2017-12-14T22:00:00Z,5.21,5.3,5.15,5.3,1275737,1235345.2,1138949872,212409000
2017-12-17T22:00:00Z,5.33,5.44,5.27,5.33,661304,1217755,1145396700,212409000
2017-12-18T22:00:00Z,5.37,5.6,5.31,5.56,1143693,1242092.25,1194822829,212409000
2017-12-19T22:00:00Z,5.57,5.74,5.54,5.68,1061508,1262906.15,1220610348,212409000
2017-12-20T22:00:00Z,5.89,5.95,5.81,5.9,1893264,1310221.85,1267887568,212409000
2017-12-21T22:00:00Z,6,6.07,5.9,5.91,967198,1299840.95,1270036476,212409000
2017-12-26T22:00:00Z,5.99,6.02,5.93,6.02,289408,1219588.35,1293675087,212409000
2017-12-27T22:00:00Z,6.04,6.055,5.98,6.04,385592,1168795.7,1297973006,212409000
2017-12-28T22:00:00Z,6.04,6.04,5.955,5.97,289829,1141232.3,1282930338,213083365
2018-01-01T22:00:00Z,6,6.31,6,6.26,859627,995980.45,1345250226,213083365
2018-01-02T22:00:00Z,6.5,6.55,6.2,6.26,775104,980024.75,1345250226,213083365
