time,open,high,low,close,Volume,Volume MA,Total common shares outstanding,Mkt сap
2010-08-24T00:00:00Z,1.579193,1.579193,1.480932,1.509007,1048004,306446.65,NaN,NaN
2010-08-25T00:00:00Z,1.480932,1.487951,1.410746,1.431802,397333,318198,NaN,NaN
2010-08-26T00:00:00Z,1.43882,1.501988,1.43882,1.473913,3023345,450872.95,NaN,NaN
2010-08-27T00:00:00Z,1.480932,1.509007,1.473913,1.509007,59848,446266.95,NaN,NaN
2010-08-30T00:00:00Z,1.509007,1.537081,1.509007,1.523044,145444,446619.2,NaN,NaN
2010-08-31T00:00:00Z,1.523044,1.537081,1.509007,1.516025,53317,438989.85,NaN,NaN
2010-09-01T00:00:00Z,1.530062,1.551118,1.530062,1.537081,68918,429109.6,NaN,NaN
2010-09-02T00:00:00Z,1.565156,1.565156,1.5441,1.558137,52514,366051.85,NaN,NaN
2010-09-03T00:00:00Z,1.572174,1.572174,1.537081,1.5441,135886,361457.75,NaN,NaN
2010-09-06T00:00:00Z,1.551118,1.614286,1.5441,1.59323,197835,358858.1,NaN,NaN
2010-09-07T00:00:00Z,1.607267,1.635342,1.579193,1.586211,189475,355710.85,NaN,NaN
2010-09-08T00:00:00Z,1.621305,1.628323,1.607267,1.628323,276288,358303.8,NaN,NaN
2010-09-09T00:00:00Z,1.614286,1.621305,1.586211,1.614286,140614,359993.2,NaN,NaN
2010-09-10T00:00:00Z,1.614286,1.628323,1.600249,1.621305,125304,349154.25,NaN,NaN
2010-09-13T00:00:00Z,1.642361,1.649379,1.621305,1.621305,443617,364132.85,NaN,NaN
2010-09-14T00:00:00Z,1.628323,1.663416,1.628323,1.635342,212229,369374.45,NaN,NaN
2010-09-15T00:00:00Z,1.663416,1.663416,1.635342,1.642361,147419,360644.25,NaN,NaN
2010-09-16T00:00:00Z,1.649379,1.670435,1.649379,1.656398,177583,364114.55,NaN,NaN
2010-09-17T00:00:00Z,1.656398,1.726584,1.656398,1.719566,427975,383034.8,NaN,NaN
2010-09-20T00:00:00Z,1.761677,1.768696,1.69851,1.705528,289235,380609.15,NaN,NaN
2010-09-21T00:00:00Z,1.712547,1.740621,1.656398,1.656398,103047,333361.3,NaN,NaN
2010-09-22T00:00:00Z,1.677454,1.677454,1.649379,1.663416,28304,314909.85,NaN,NaN
2010-09-23T00:00:00Z,1.663416,1.684472,1.600249,1.663416,136335,170559.35,NaN,NaN
2010-09-24T00:00:00Z,1.656398,1.656398,1.614286,1.649379,115440,173338.95,NaN,NaN
2010-09-27T00:00:00Z,1.677454,1.69851,1.656398,1.69851,192472,175690.35,NaN,NaN
2010-09-28T00:00:00Z,1.705528,1.726584,1.705528,1.719566,181437,182096.35,NaN,NaN
2010-09-29T00:00:00Z,1.719566,1.719566,1.684472,1.691491,49684,181134.65,NaN,NaN
2010-09-30T00:00:00Z,1.719566,1.719566,1.691491,1.691491,85514,182784.65,NaN,NaN
2010-10-01T00:00:00Z,1.684472,1.705528,1.670435,1.684472,186089,185294.8,NaN,NaN
2010-10-03T23:00:00Z,1.670435,1.719566,1.670435,1.69851,83352,179570.65,NaN,NaN
2010-10-04T23:00:00Z,1.69851,1.740621,1.69851,1.719566,229802,181587,NaN,NaN
2010-10-05T23:00:00Z,1.733603,1.789752,1.733603,1.789752,283726,181958.9,NaN,NaN
2010-10-06T23:00:00Z,1.79677,1.817826,1.789752,1.789752,154213,182638.85,NaN,NaN
2010-10-07T23:00:00Z,1.789752,1.859938,1.789752,1.803789,601922,206469.75,NaN,NaN
2010-10-10T23:00:00Z,1.85292,1.85292,1.803789,1.845901,292828,198930.3,NaN,NaN
2010-10-11T23:00:00Z,1.85292,1.895031,1.838882,1.838882,328397,204738.7,NaN,NaN
2010-10-12T23:00:00Z,1.838882,1.888013,1.838882,1.888013,219493,208342.4,NaN,NaN
2010-10-13T23:00:00Z,1.90205,1.90205,1.859938,1.873976,198255,209376,NaN,NaN
2010-10-14T23:00:00Z,1.859938,1.888013,1.831864,1.85292,226984,199326.45,NaN,NaN
2010-10-17T23:00:00Z,1.880994,1.880994,1.824845,1.824845,521113,210920.35,NaN,NaN
2010-10-18T23:00:00Z,1.824845,1.866957,1.824845,1.824845,112659,211400.95,NaN,NaN
2010-10-19T23:00:00Z,1.824845,1.824845,1.782733,1.79677,290551,224513.3,NaN,NaN
2010-10-20T23:00:00Z,1.789752,1.859938,1.782733,1.838882,363500,235871.55,NaN,NaN
2010-10-21T23:00:00Z,1.859938,1.888013,1.85292,1.85292,100962,235147.65,NaN,NaN
2010-10-24T23:00:00Z,1.859938,1.880994,1.85292,1.85292,102973,230672.7,NaN,NaN
2010-10-25T23:00:00Z,1.859938,1.873976,1.824845,1.824845,495451,246373.4,NaN,NaN
2010-10-26T23:00:00Z,1.831864,1.831864,1.712547,1.775715,200623,253920.35,NaN,NaN
2010-10-27T23:00:00Z,1.775715,1.838882,1.775715,1.838882,698553,284572.3,NaN,NaN
2010-10-28T23:00:00Z,1.838882,1.859938,1.817826,1.817826,106793,280607.5,NaN,NaN
2010-10-31T23:00:00Z,1.824845,1.85292,1.817826,1.831864,109513,281915.55,NaN,NaN
2010-11-01T23:00:00Z,1.845901,1.866957,1.838882,1.85292,145349,277692.9,NaN,NaN
2010-11-02T23:00:00Z,1.859938,1.895031,1.845901,1.859938,324518,279732.5,NaN,NaN
2010-11-03T23:00:00Z,1.859938,1.866957,1.831864,1.85292,53739,274708.8,NaN,NaN
2010-11-04T23:00:00Z,1.859938,1.859938,1.838882,1.838882,138291,251527.25,NaN,NaN
2010-11-07T23:00:00Z,1.85292,1.859938,1.838882,1.845901,147096,244240.65,NaN,NaN
2010-11-08T23:00:00Z,1.845901,1.85292,1.838882,1.85292,130152,234328.4,NaN,NaN
2010-11-09T23:00:00Z,1.85292,1.859938,1.845901,1.85292,264912,236599.35,NaN,NaN
2010-11-10T23:00:00Z,1.859938,1.859938,1.845901,1.845901,130304,233201.8,NaN,NaN
2010-11-11T23:00:00Z,1.845901,1.845901,1.817826,1.824845,105175,227111.35,NaN,NaN
2010-11-14T23:00:00Z,1.824845,1.859938,1.824845,1.845901,162254,209168.4,NaN,NaN
2010-11-15T23:00:00Z,1.845901,1.845901,1.691491,1.719566,1429899,275030.4,NaN,NaN
2010-11-16T23:00:00Z,1.677454,1.677454,1.551118,1.656398,742409,297623.3,NaN,NaN
2010-11-17T23:00:00Z,1.656398,1.677454,1.656398,1.670435,173330,288114.8,NaN,NaN
2010-11-18T23:00:00Z,1.684472,1.69851,1.684472,1.691491,214324,293782.9,NaN,NaN
